epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.2544127,2.227726164232233,0.7355759,0.266,2.230915950404273,0.7511111
1,0.2657179,2.20074870106591,0.7460185,0.27155554,2.2007309595743814,0.75133336
2,0.2655947,2.1971328121065503,0.7441087,0.24066667,2.223282436529795,0.73377776
3,0.27187875,2.191166488255392,0.7466346,0.23311111,2.3147068354818554,0.7264444
4,0.2693528,2.1863553173619947,0.7481132,0.23688889,2.2614843249320984,0.7404444
5,0.26695007,2.181542335837282,0.7515633,0.2568889,2.197096029917399,0.748
6,0.2722792,2.180770278347878,0.7500847,0.2731111,2.178801483578152,0.7531111
7,0.27332655,2.1757405994082615,0.7493146,0.2617778,2.1926339070002236,0.7468889
8,0.2750516,2.176868352204643,0.74937624,0.23466666,2.2504795524809094,0.71933335
9,0.27267966,2.1770240102550025,0.7515941,0.26222223,2.1907166043917337,0.76
10,0.27064657,2.1763078194171603,0.75100887,0.27755556,2.21110424068239,0.7468889
11,0.27049255,2.1756745943303244,0.7515941,0.24288888,2.3037000960773892,0.7404444
