epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.2529033,2.224776289884093,0.7392108,0.2631111,2.1905560890833535,0.7402222
1,0.26152852,2.195650861417726,0.75177896,0.26733333,2.1990313000149198,0.7488889
2,0.26919878,2.1839613729119174,0.75162494,0.26755556,2.184836632675595,0.75
3,0.2694452,2.1782941238109665,0.7534116,0.26022223,2.1798582871754966,0.75622225
4,0.26959923,2.175935729467336,0.7569541,0.26866665,2.192698578039805,0.7457778
5,0.27184796,2.163884746621843,0.76246804,0.27377778,2.169693019655016,0.7595556
6,0.27486676,2.1612056539110314,0.75957245,0.27844444,2.1469157768620386,0.7637778
7,0.27304932,2.1597941374560623,0.75760096,0.2711111,2.169714228974448,0.7597778
8,0.2744047,2.1546387616680946,0.7618828,0.2631111,2.186918016937044,0.748
9,0.2743431,2.1563135752986233,0.75914115,0.27244446,2.1495409144295587,0.764
