epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.21875,2.4676383256912233,0.665625,0.2462091,2.2969691514968873,0.74541104
1,0.221875,2.2926742017269133,0.734375,0.096568234,2.3843686103820803,0.7426177
2,0.23125,2.2671026408672335,0.728125,0.25,2.3222384333610533,0.74441344
3,0.2234375,2.257093811035156,0.7046875,0.23503591,2.268479752540588,0.7330407
4,0.20625,2.224452739953995,0.7390625,0.11213089,2.3075544595718385,0.7268556
5,0.24375,2.2392597556114198,0.7359375,0.26656026,2.201982116699219,0.7529928
6,0.2421875,2.2281076908111572,0.740625,0.207502,2.3168176889419554,0.7376297
7,0.24375,2.2029510736465454,0.7609375,0.2462091,2.3130685091018677,0.6885475
8,0.25,2.2415235102176667,0.721875,0.2434158,2.298295021057129,0.75339186
9,0.24375,2.291582715511322,0.7171875,0.18475658,2.343691420555115,0.7186752
10,0.259375,2.2002829134464266,0.746875,0.2539904,2.218639874458313,0.7527933
11,0.2515625,2.246754437685013,0.7328125,0.25718275,2.23996365070343,0.74840385
12,0.2703125,2.19864422082901,0.740625,0.24860336,2.21191029548645,0.7529928
13,0.2890625,2.1956712782382963,0.7265625,0.27992818,2.1992902398109435,0.76057464
14,0.296875,2.144549161195755,0.765625,0.24281724,2.235918474197388,0.75359136
15,0.3015625,2.157896900177002,0.7640625,0.2659617,2.2025301456451416,0.76735836
16,0.2953125,2.1824260532855986,0.7484375,0.24700718,2.2258784890174867,0.7519952
17,0.2734375,2.1670833468437194,0.771875,0.27134877,2.160682737827301,0.7709497
18,0.253125,2.23188756108284,0.7390625,0.2793296,2.166783404350281,0.74740624
19,0.2796875,2.1928921043872833,0.7578125,0.28172386,2.1646071076393127,0.7480048
