epoch,auc,categorical_accuracy,loss,val_auc,val_categorical_accuracy,val_loss
0,0.79313797,0.21265653,0.166876468094389,0.831644,0.18615723,0.15552281599957496
1,0.8307326,0.22253075,0.15274480651374012,0.8391872,0.15835571,0.1505235485965386
2,0.8406683,0.22715244,0.14990303494949817,0.8495492,0.22235107,0.14758636674378067
3,0.84641224,0.22907193,0.1480035287639431,0.8393645,0.23397827,0.1542874346487224
4,0.8526936,0.23365636,0.14610809584717852,0.84572506,0.17147827,0.14918749534990638
5,0.8562547,0.23641446,0.14489829752856656,0.8534362,0.2680664,0.14603848033584654
6,0.85989434,0.24336563,0.14355849511157742,0.84931016,0.19195557,0.14766790880821645
7,0.8639508,0.24571376,0.14216820510785347,0.8478547,0.16418457,0.1487688709748909
8,0.86678374,0.24742825,0.14114818810927882,0.8549453,0.2163086,0.14514365198556334
9,0.87027967,0.2516586,0.13976737640706452,0.85747683,0.25915527,0.14456244424218312
10,0.8725809,0.2513418,0.13895293214051882,0.8614137,0.24520874,0.14317157375626266
11,0.8758396,0.2572307,0.1376174676887055,0.8618358,0.21246338,0.14292392000788823
12,0.87855685,0.25786433,0.13660239953849015,0.85893524,0.2059021,0.14401459880173206
13,0.8813541,0.2610697,0.1353083497701276,0.86212945,0.23242188,0.14268613094463944
14,0.8833705,0.26280284,0.13456198268202407,0.86263853,0.20098877,0.1426749265519902
15,0.8870304,0.26612002,0.13308016466996672,0.86101776,0.23086548,0.1433994896360673
